Club,Stadium,Stadium City,TotalWins,Year,,,,,,,,,,,,
Al Taawoun,King Abdullah Sport City Stadium, Buraidah,7,2021/22,,,,,,,,,,,,
Al Ahli,King Abdullah Sports City, Jeddah,,,,,,,,,,,,,," Jeddah	6	2021/22"
Al Faisaly,Al Majma’a Sport City Stadium, Al Majma'ah,6,2021/22,,,,,,,,,,,,
Al Hazem,Al Hazem Club Stadium, Al Rass,4,2021/22,,,,,,,,,,,,
Al Hilal,Prince Faisal bin Fahd Stadium, Riyadh,18,2020/21,,,,,,,,,,,,
Al Shabab,Al Shabab Club Stadium, Riyadh,17,2020/21,,,,,,,,,,,,
Al Ittihad,Sport Hall Stadium in King Abdullah Sport City, Jeddah,15,2020/21,,,,,,,,,,,,
Al Ettifaq,Prince Mohammed Bin Fahd Stadium, Dammam,14,2020/21,,,,,,,,,,,,
Al Nassr,Al Awwal Park at King Saud University, Riyadh,13,2020/21,,,,,,,,,,,,
Al Taawoun,King Abdullah Sport City Stadium, Buraidah,13,2020/21,,,,,,,,,,,,
Al Fateh,Prince Abdullah Bin Jalawi Stadium, Al Ahsa,12,2020/21,,,,,,,,,,,,
Al Ahli,Sport Hall Stadium in King Abdullah Sport City, Jeddah,11,2020/21,,,,,,,,,,,,
Abha,Prince Sultan bin Abdulaziz Sports City Stadium, Abha,10,2020/21,,,,,,,,,,,,
Al Raed,King Abdullah Sport City Stadium, Buraidah,10,2020/21,,,,,,,,,,,,
Al Batin,Al Batin Stadium, Hafar Al-Batin,9,2020/21,,,,,,,,,,,,
Al Faisaly,Al Majma’a Sport City Stadium, Al Majma'ah,9,2020/21,,,,,,,,,,,,
Al Wehda,King Abdulaziz Sports City Stadium, Mecca,9,2020/21,,,,,,,,,,,,
Damac,Prince Sultan bin Abdulaziz Sports City Stadium, Abha,9,2020/21,,,,,,,,,,,,
Al Qadsiah,Prince Mohammed Bin Fahd Stadium, Dammam,8,2020/21,,,,,,,,,,,,
Al Ain,King Saud Sport City Stadium, Al-Bahah,5,2020/21,,,,,,,,,,,,
Al Hilal,Al Awwal Park at King Saud University, Riyadh,22,2019/20,,,,,,,,,,,,
Al Nassr,Prince Faisal bin Fahd Stadium, Riyadh,19,2019/20,,,,,,,,,,,,
Al Wehda,King Abdulaziz Sports City Stadium, Mecca,16,2019/20,,,,,,,,,,,,
Al Ahli,King Abdullah Sports City, Jeddah,,,,,,,,,,,,,," Jeddah	15	2019/20"
Al Faisaly,Al Majma’a Sport City Stadium, Al Majma'ah,14,2019/20,,,,,,,,,,,,
Al Ettifaq,Prince Mohammed Bin Fahd Stadium, Dammam,13,2019/20,,,,,,,,,,,,
Al Raed,King Abdullah Sport City Stadium, Buraidah,13,2019/20,,,,,,,,,,,,
Al Shabab,Al Shabab Club Stadium, Riyadh,12,2019/20,,,,,,,,,,,,
Abha,Prince Sultan bin Abdulaziz Sports City Stadium, Abha,11,2019/20,,,,,,,,,,,,
Al Taawoun,King Abdullah Sport City Stadium, Buraidah,10,2019/20,,,,,,,,,,,,
